geography,geographic_area_name,families_number,families_number_moe,families_percent_distribution,families_percent_distribution_moe,families_median_income,families_median_income_moe
1400000US48029121601,Census Tract 1216.01; Bexar County; Texas,1118,236,1118,236,61648,9424
1400000US48029121604,Census Tract 1216.04; Bexar County; Texas,2440,392,2440,392,105469,24948
1400000US48029121605,Census Tract 1216.05; Bexar County; Texas,593,123,593,123,94471,31453
1400000US48029121606,Census Tract 1216.06; Bexar County; Texas,1025,236,1025,236,70995,12928
1400000US48029121701,Census Tract 1217.01; Bexar County; Texas,1429,323,1429,323,82212,22878
1400000US48029121702,Census Tract 1217.02; Bexar County; Texas,1987,300,1987,300,81394,13351
1400000US48029121802,Census Tract 1218.02; Bexar County; Texas,2369,307,2369,307,78552,2924
1400000US48029121803,Census Tract 1218.03; Bexar County; Texas,1321,195,1321,195,81399,2866
1400000US48029121804,Census Tract 1218.04; Bexar County; Texas,1620,222,1620,222,65904,9404
1400000US48029121808,Census Tract 1218.08; Bexar County; Texas,694,159,694,159,95000,24769
1400000US48029121809,Census Tract 1218.09; Bexar County; Texas,1412,182,1412,182,82917,14780
1400000US48029121810,Census Tract 1218.10; Bexar County; Texas,1211,195,1211,195,85313,26887
1400000US48029121811,Census Tract 1218.11; Bexar County; Texas,1634,371,1634,371,90658,8556
1400000US48029121812,Census Tract 1218.12; Bexar County; Texas,1351,196,1351,196,105729,16307
1400000US48029121813,Census Tract 1218.13; Bexar County; Texas,405,70,405,70,102056,18960
1400000US48029121903,Census Tract 1219.03; Bexar County; Texas,1627,321,1627,321,129342,4698
1400000US48029121904,Census Tract 1219.04; Bexar County; Texas,888,95,888,95,113158,18935
1400000US48029121905,Census Tract 1219.05; Bexar County; Texas,1715,275,1715,275,188533,66339
1400000US48029121906,Census Tract 1219.06; Bexar County; Texas,1585,393,1585,393,91872,20883
1400000US48029121908,Census Tract 1219.08; Bexar County; Texas,938,136,938,136,151653,11489
1400000US48029121909,Census Tract 1219.09; Bexar County; Texas,2292,292,2292,292,98880,12526
1400000US48029121910,Census Tract 1219.10; Bexar County; Texas,1935,343,1935,343,142758,19324
1400000US48029121911,Census Tract 1219.11; Bexar County; Texas,2122,278,2122,278,155988,28426
1400000US48029121912,Census Tract 1219.12; Bexar County; Texas,2871,614,2871,614,140347,28290
1400000US48029130200,Census Tract 1302; Bexar County; Texas,283,81,283,81,42455,18174
1400000US48029130300,Census Tract 1303; Bexar County; Texas,623,117,623,117,33902,17534
1400000US48029130401,Census Tract 1304.01; Bexar County; Texas,872,237,872,237,50152,17264
1400000US48029130402,Census Tract 1304.02; Bexar County; Texas,709,155,709,155,25382,8982
1400000US48029130500,Census Tract 1305; Bexar County; Texas,848,203,848,203,39595,10803
1400000US48029130600,Census Tract 1306; Bexar County; Texas,776,157,776,157,35833,3316
1400000US48029130700,Census Tract 1307; Bexar County; Texas,561,102,561,102,38750,12903
1400000US48029130800,Census Tract 1308; Bexar County; Texas,1098,201,1098,201,31848,10070
1400000US48029130900,Census Tract 1309; Bexar County; Texas,1248,217,1248,217,51051,8666
1400000US48029131000,Census Tract 1310; Bexar County; Texas,1152,228,1152,228,46596,11628
1400000US48029131100,Census Tract 1311; Bexar County; Texas,571,135,571,135,40573,17569
1400000US48029131200,Census Tract 1312; Bexar County; Texas,626,147,626,147,72727,22160
1400000US48029131300,Census Tract 1313; Bexar County; Texas,1410,314,1410,314,56900,21040
1400000US48029131401,Census Tract 1314.01; Bexar County; Texas,3092,393,3092,393,81178,7843
1400000US48029131402,Census Tract 1314.02; Bexar County; Texas,749,129,749,129,66823,15183
1400000US48029131503,Census Tract 1315.03; Bexar County; Texas,898,227,898,227,85536,50199
1400000US48029131504,Census Tract 1315.04; Bexar County; Texas,931,144,931,144,76208,14925
1400000US48029131505,Census Tract 1315.05; Bexar County; Texas,1269,253,1269,253,80365,13576
1400000US48029131506,Census Tract 1315.06; Bexar County; Texas,1274,191,1274,191,82695,12555
1400000US48029131507,Census Tract 1315.07; Bexar County; Texas,1251,203,1251,203,50681,7842
1400000US48029131601,Census Tract 1316.01; Bexar County; Texas,2233,228,2233,228,115699,27326
1400000US48029131606,Census Tract 1316.06; Bexar County; Texas,2216,229,2216,229,100519,17295
1400000US48029131608,Census Tract 1316.08; Bexar County; Texas,1823,362,1823,362,78750,32842
1400000US48029131609,Census Tract 1316.09; Bexar County; Texas,2066,290,2066,290,85625,19028
1400000US48029131610,Census Tract 1316.10; Bexar County; Texas,1236,174,1236,174,66719,18366
1400000US48029131612,Census Tract 1316.12; Bexar County; Texas,508,76,508,76,87500,18047
1400000US48029131614,Census Tract 1316.14; Bexar County; Texas,1220,194,1220,194,64826,17172
1400000US48029131615,Census Tract 1316.15; Bexar County; Texas,3156,528,3156,528,68420,15433
1400000US48029131616,Census Tract 1316.16; Bexar County; Texas,1868,289,1868,289,76190,10132
1400000US48029131700,Census Tract 1317; Bexar County; Texas,309,59,309,59,127875,26167
1400000US48029131801,Census Tract 1318.01; Bexar County; Texas,842,138,842,138,105526,32376
1400000US48029131802,Census Tract 1318.02; Bexar County; Texas,2196,336,2196,336,79036,19688
1400000US48029140100,Census Tract 1401; Bexar County; Texas,280,72,280,72,74479,11937
1400000US48029140200,Census Tract 1402; Bexar County; Texas,487,105,487,105,32604,10577
1400000US48029140300,Census Tract 1403; Bexar County; Texas,756,138,756,138,50789,25975
1400000US48029140400,Census Tract 1404; Bexar County; Texas,784,206,784,206,68125,5893
1400000US48029140500,Census Tract 1405; Bexar County; Texas,983,214,983,214,52672,12703
